date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:53:28	12342/12342	---MCZ	200	added ('OK')	text/html	etag:W/%22fdd28f91eaba1df40c9e4d23e635e357%22	https://bennett-wix-next.vercel.app/photos	D:/Users/Toby/Desktop/Website3/Toby/bennett-wix-next.vercel.app/photos.html	(from https://bennett-wix-next.vercel.app/)
20:53:28	15736/15736	---MCZ	200	added ('OK')	text/html	etag:W/%224fc9a4607a5e2cc57f3363f6ba22ea4c%22	https://bennett-wix-next.vercel.app/videos	D:/Users/Toby/Desktop/Website3/Toby/bennett-wix-next.vercel.app/videos.html	(from https://bennett-wix-next.vercel.app/)
20:53:28	23373/23373	---MCZ	200	added ('OK')	text/html	etag:W/%2222dc7678d665436efefd9de7a9d4f120%22	https://bennett-wix-next.vercel.app/modeling	D:/Users/Toby/Desktop/Website3/Toby/bennett-wix-next.vercel.app/modeling.html	(from https://bennett-wix-next.vercel.app/)
20:53:29	12233/12233	---MCZ	200	added ('OK')	text/html	etag:W/%22d91bddc593baa951cbbb06a5676304d1%22	https://bennett-wix-next.vercel.app/about	D:/Users/Toby/Desktop/Website3/Toby/bennett-wix-next.vercel.app/about.html	(from https://bennett-wix-next.vercel.app/)
20:53:29	25908/25908	---M--	200	added ('OK')	font/woff2	etag:%2243828e14271c77b87e3ed582dbff9f74%22	https://bennett-wix-next.vercel.app/_next/static/media/55c55f0601d81cf3-s.woff2	D:/Users/Toby/Desktop/Website3/Toby/bennett-wix-next.vercel.app/_next/static/media/55c55f0601d81cf3-s.woff2	(from https://bennett-wix-next.vercel.app/_next/static/css/dbaca0ed66797db8.css)
20:53:29	18820/18820	---M--	200	added ('OK')	font/woff2	etag:%22befd9c0fdfa3d8a645d5f95717ed6420%22	https://bennett-wix-next.vercel.app/_next/static/media/26a46d62cd723877-s.woff2	D:/Users/Toby/Desktop/Website3/Toby/bennett-wix-next.vercel.app/_next/static/media/26a46d62cd723877-s.woff2	(from https://bennett-wix-next.vercel.app/_next/static/css/dbaca0ed66797db8.css)
20:53:29	11220/11220	---M--	200	added ('OK')	font/woff2	etag:%22e360c61c5bd8d90639fd4503c829c2dc%22	https://bennett-wix-next.vercel.app/_next/static/media/97e0cb1ae144a2a9-s.woff2	D:/Users/Toby/Desktop/Website3/Toby/bennett-wix-next.vercel.app/_next/static/media/97e0cb1ae144a2a9-s.woff2	(from https://bennett-wix-next.vercel.app/_next/static/css/dbaca0ed66797db8.css)
20:53:30	19072/19072	---M--	200	added ('OK')	font/woff2	etag:%22f0b86e7c24f455280b8df606b89af891%22	https://bennett-wix-next.vercel.app/_next/static/media/581909926a08bbc8-s.woff2	D:/Users/Toby/Desktop/Website3/Toby/bennett-wix-next.vercel.app/_next/static/media/581909926a08bbc8-s.woff2	(from https://bennett-wix-next.vercel.app/_next/static/css/dbaca0ed66797db8.css)
20:53:30	10280/10280	---M--	200	added ('OK')	font/woff2	etag:%22d54db44de5ccb18886ece2fda72bdfe0%22	https://bennett-wix-next.vercel.app/_next/static/media/df0a9ae256c0569c-s.woff2	D:/Users/Toby/Desktop/Website3/Toby/bennett-wix-next.vercel.app/_next/static/media/df0a9ae256c0569c-s.woff2	(from https://bennett-wix-next.vercel.app/_next/static/css/dbaca0ed66797db8.css)
20:53:31	74316/74316	---M--	200	added ('OK')	font/woff2	etag:%22621a07228c8ccbfd647918f1021b4868%22	https://bennett-wix-next.vercel.app/_next/static/media/6d93bde91c0c2823-s.woff2	D:/Users/Toby/Desktop/Website3/Toby/bennett-wix-next.vercel.app/_next/static/media/6d93bde91c0c2823-s.woff2	(from https://bennett-wix-next.vercel.app/_next/static/css/dbaca0ed66797db8.css)
